x_local,y_local,utm_e,utm_n,lon,lat,rl
34.023,172.549,706140.950,953890.450,76.8732642,8.6249215,85.472
35.483,169.909,706142.410,953887.810,76.8732773,8.6248975,85.448
36.293,169.699,706143.220,953887.600,76.8732847,8.6248956,85.443
37.143,180.329,706144.070,953898.230,76.8732929,8.6249916,85.446
38.243,192.029,706145.170,953909.930,76.8733034,8.6250974,85.579
38.933,200.099,706145.860,953918.000,76.8733100,8.6251703,85.547
41.093,169.709,706148.020,953887.610,76.8733283,8.6248955,85.143
41.423,175.979,706148.350,953893.880,76.8733316,8.6249521,85.167
41.533,203.939,706148.460,953921.840,76.8733338,8.6252049,85.584
42.203,172.359,706149.130,953890.260,76.8733385,8.6249194,85.122
42.603,181.469,706149.530,953899.370,76.8733425,8.6250017,85.441
42.623,187.799,706149.550,953905.700,76.8733430,8.6250589,85.233
42.833,193.409,706149.760,953911.310,76.8733451,8.6251096,85.002
43.073,208.629,706150.000,953926.530,76.8733480,8.6252472,85.349
43.163,174.929,706150.090,953892.830,76.8733473,8.6249426,85.528
45.633,175.239,706152.560,953893.140,76.8733698,8.6249453,85.160
45.683,168.679,706152.610,953886.580,76.8733699,8.6248859,85.034
45.883,197.129,706152.810,953915.030,76.8733730,8.6251431,85.312
46.113,172.409,706153.040,953890.310,76.8733740,8.6249196,85.060
47.113,202.679,706154.040,953920.580,76.8733844,8.6251933,85.214
47.863,212.579,706154.790,953930.480,76.8733917,8.6252827,84.864
49.243,167.999,706156.170,953885.900,76.8734022,8.6248796,84.675
49.403,178.209,706156.330,953896.110,76.8734041,8.6249719,85.336
49.443,178.149,706156.370,953896.050,76.8734045,8.6249714,85.225
49.633,173.949,706156.560,953891.850,76.8734060,8.6249334,84.922
49.633,183.279,706156.560,953901.180,76.8734065,8.6250178,85.005
50.103,195.829,706157.030,953913.730,76.8734113,8.6251312,85.069
50.233,195.419,706157.160,953913.320,76.8734124,8.6251275,85.032
50.333,189.919,706157.260,953907.820,76.8734131,8.6250778,84.936
50.493,171.299,706157.420,953889.200,76.8734137,8.6249094,84.764
50.563,174.729,706157.490,953892.630,76.8734145,8.6249404,84.804
51.083,201.979,706158.010,953919.880,76.8734205,8.6251868,84.939
51.223,220.079,706158.150,953937.980,76.8734225,8.6253504,84.364
51.593,206.599,706158.520,953924.500,76.8734253,8.6252285,84.480
52.533,208.339,706159.460,953926.240,76.8734339,8.6252442,84.433
54.353,177.059,706161.280,953894.960,76.8734491,8.6249613,84.171
54.473,167.239,706161.400,953885.140,76.8734497,8.6248725,84.346
54.833,169.979,706161.760,953887.880,76.8734531,8.6248973,84.339
55.193,174.349,706162.120,953892.250,76.8734566,8.6249368,84.254
56.433,182.169,706163.360,953900.070,76.8734682,8.6250074,83.873
57.223,173.679,706164.150,953891.580,76.8734750,8.6249306,84.004
57.803,193.939,706164.730,953911.840,76.8734811,8.6251138,83.892
57.903,188.839,706164.830,953906.740,76.8734818,8.6250677,83.752
58.363,198.779,706165.290,953916.680,76.8734865,8.6251575,83.759
58.713,199.719,706165.640,953917.620,76.8734897,8.6251660,83.724
59.453,166.349,706166.380,953884.250,76.8734949,8.6248643,83.444
60.523,169.299,706167.450,953887.200,76.8735048,8.6248909,83.628
61.383,173.879,706168.310,953891.780,76.8735128,8.6249323,83.439
61.403,193.149,706168.330,953911.050,76.8735138,8.6251065,83.114
62.033,198.379,706168.960,953916.280,76.8735198,8.6251537,82.931
62.893,205.659,706169.820,953923.560,76.8735279,8.6252195,81.978
64.093,182.529,706171.020,953900.430,76.8735378,8.6250103,82.751
64.553,177.559,706171.480,953895.460,76.8735417,8.6249654,82.674
64.773,182.879,706171.700,953900.780,76.8735440,8.6250135,82.862
64.953,188.509,706171.880,953906.410,76.8735459,8.6250644,82.347
65.003,177.349,706171.930,953895.250,76.8735458,8.6249635,82.785
65.183,188.289,706172.110,953906.190,76.8735479,8.6250624,82.809
65.883,171.479,706172.810,953889.380,76.8735535,8.6249104,82.714
66.183,169.019,706173.110,953886.920,76.8735562,8.6248881,82.804
66.903,172.429,706173.830,953890.330,76.8735629,8.6249189,82.437
68.703,186.559,706175.630,953904.460,76.8735798,8.6250466,82.615
68.993,178.499,706175.920,953896.400,76.8735821,8.6249737,82.256
69.123,192.179,706176.050,953910.080,76.8735839,8.6250974,81.804
69.273,182.459,706176.200,953900.360,76.8735848,8.6250095,81.925
69.373,206.159,706176.300,953924.060,76.8735868,8.6252237,80.160
70.343,199.069,706177.270,953916.970,76.8735953,8.6251596,80.614
71.523,167.979,706178.450,953885.880,76.8736046,8.6248785,82.229
71.803,181.549,706178.730,953899.450,76.8736078,8.6250011,81.197
72.653,187.429,706179.580,953905.330,76.8736158,8.6250543,80.599
73.053,172.169,706179.980,953890.070,76.8736187,8.6249163,81.993
73.303,176.729,706180.230,953894.630,76.8736212,8.6249575,81.183
77.243,183.179,706184.170,953901.080,76.8736573,8.6250156,79.888
77.813,189.179,706184.740,953907.080,76.8736627,8.6250699,79.343
77.823,187.159,706184.750,953905.060,76.8736627,8.6250516,79.266
78.213,195.049,706185.140,953912.950,76.8736666,8.6251229,78.758
78.573,178.259,706185.500,953896.160,76.8736691,8.6249711,79.958
78.623,200.719,706185.550,953918.620,76.8736706,8.6251741,78.067
85.303,188.029,706192.230,953905.930,76.8737307,8.6250591,77.230
85.723,192.539,706192.650,953910.440,76.8737347,8.6250999,76.942
86.543,198.129,706193.470,953916.030,76.8737424,8.6251504,76.398
93.633,187.359,706200.560,953905.260,76.8738063,8.6250527,75.723
94.343,193.659,706201.270,953911.560,76.8738131,8.6251096,75.253
94.393,184.209,706201.320,953902.110,76.8738131,8.6250242,75.286
94.873,198.579,706201.800,953916.480,76.8738181,8.6251541,75.248
99.513,184.669,706206.440,953902.570,76.8738596,8.6250281,74.737
102.093,101.949,706209.020,953819.850,76.8738794,8.6242802,72.395
103.083,180.569,706210.010,953898.470,76.8738919,8.6249909,74.504
107.723,101.209,706214.650,953819.110,76.8739305,8.6242732,71.671
109.693,194.649,706216.620,953912.550,76.8739525,8.6251179,73.592
113.253,126.079,706220.180,953843.980,76.8739818,8.6244978,69.567
114.063,111.199,706220.990,953829.100,76.8739885,8.6243633,69.567
114.253,106.389,706221.180,953824.290,76.8739900,8.6243198,69.869
114.553,118.639,706221.480,953836.540,76.8739933,8.6244305,69.663
116.833,100.839,706223.760,953818.740,76.8740132,8.6242695,70.551
117.473,129.779,706224.400,953847.680,76.8740203,8.6245311,69.366
117.693,114.259,706224.620,953832.160,76.8740216,8.6243908,69.077
117.953,118.279,706224.880,953836.180,76.8740242,8.6244271,69.423
121.243,113.239,706228.170,953831.140,76.8740538,8.6243814,69.005
121.423,108.639,706228.350,953826.540,76.8740553,8.6243398,69.098
121.473,104.099,706228.400,953822.000,76.8740555,8.6242988,69.496
122.863,98.639,706229.790,953816.540,76.8740679,8.6242493,69.761
122.953,118.319,706229.880,953836.220,76.8740696,8.6244272,69.183
123.643,129.039,706230.570,953846.940,76.8740763,8.6245241,69.128
